session,filename,duration,duration_seconds,normalization_db,peak_db,true_peak_db,clips,tp_clips,lufs_m_max,lufs_s_max,lufs_i,lra,stats_file
2024.08.15 -- ZM1 Spcmic Saramonic,1OA_SRVRMIC_CFranck-PreludeChoralFugue.wav,19:07.833,1147.833,-0.5,-2.5,-2.5,0,0,17.2,17.2,-21.85,17.2,1OA_SRVRMIC_CFranck-PreludeChoralFugue.render_stats.html
2024.08.15 -- ZM1 Spcmic Saramonic,1OA_SRVRMIC_SProkofiev-Sonata4.wav,16:24.000,984.0,-0.5,-0.5,-0.5,0,0,19.4,19.4,-20.97,19.4,1OA_SRVRMIC_SProkofiev-Sonata4.render_stats.html
2024.08.15 -- ZM1 Spcmic Saramonic,3OA_Spcmic_CFranck-PreludeChoralFugue.wav,19:07.833,1147.833,12.0,-3.3,-3.3,0,0,17.1,17.1,-18.19,17.1,3OA_Spcmic_CFranck-PreludeChoralFugue.render_stats.html
2024.08.15 -- ZM1 Spcmic Saramonic,3OA_Spcmic_SProkofiev-Sonata4.wav,16:24.000,984.0,12.0,-0.5,-0.5,0,0,19.0,19.0,-17.29,19.0,3OA_Spcmic_SProkofiev-Sonata4.render_stats.html
2024.08.15 -- ZM1 Spcmic Saramonic,3OA_ZM1_CFranck-PreludeChoralFugue.wav,19:07.833,1147.833,-0.5,-0.8,-0.8,0,0,16.7,16.7,-21.48,16.700000000000003,3OA_ZM1_CFranck-PreludeChoralFugue.render_stats.html
2024.08.15 -- ZM1 Spcmic Saramonic,3OA_ZM1_SProkofiev-Sonata4.wav,16:24.000,984.0,-0.5,-0.5,-0.5,0,0,18.7,18.7,-20.62,18.700000000000003,3OA_ZM1_SProkofiev-Sonata4.render_stats.html
2024.08.15 -- ZM1 Spcmic Saramonic,5OA_Spcmic_CFranck-PreludeChoralFugue.wav,19:07.833,1147.833,12.0,-3.3,-3.3,0,0,17.1,17.1,-20.35,17.1,5OA_Spcmic_CFranck-PreludeChoralFugue.render_stats.html
2024.08.15 -- ZM1 Spcmic Saramonic,5OA_Spcmic_SProkofiev-Sonata4.wav,16:24.000,984.0,12.0,-0.5,-0.5,0,0,19.4,19.4,-19.62,19.4,5OA_Spcmic_SProkofiev-Sonata4.render_stats.html
2024.12.10 -- piano recording - Chopin,1OA_NTSF1_ChopinRecital.wav,24:48.283,1488.283,1.7,-0.5,-0.5,0,0,20.9,20.9,-17.03,20.900000000000002,1OA_NTSF1_ChopinRecital.render_stats.html
2024.12.10 -- piano recording - Chopin,3OA_ZM1_ChopinRecital1.wav,24:48.283,1488.283,,-0.5,-0.5,0,0,-12.5,21.2,-19.83,21.2,3OA_ZM1_ChopinRecital1.render_stats.html
2025.01.10 -- piano recording - Chopin,3OA_ZM1_ChopinRecital2.wav,15:12.000,912.0,,-0.5,-0.5,0,0,-13.4,18.7,-21.54,18.700000000000003,3OA_ZM1_ChopinRecital2.render_stats.html
2025.02.05 -- Violin and piano,1OA_NTSF1_CFranck-Sonata.wav,15:42.000,942.0,,-3.4,-3.4,0,0,-14.9,17.4,-21.52,17.4,1OA_NTSF1_CFranck-Sonata.render_stats.html
2025.02.05 -- Violin and piano,3OA_ZM1_CFranck-Sonata.wav,15:42.000,942.0,,-0.5,-0.5,0,0,-11.6,17.1,-18.64,17.1,3OA_ZM1_CFranck-Sonata.render_stats.html
2025.09.28 -- film set cave,3OA_Spcmic_cave.wav,2:15.446,135.446,,-0.5,-0.5,0,0,-15.0,22.7,-22.4,22.7,3OA_Spcmic_cave.render_stats.html
2025.09.28 -- film set cave,5OA_Spcmic_cave.wav,2:15.446,135.446,,-0.5,-0.5,0,0,-17.5,23.4,-25.2,23.4,5OA_Spcmic_cave.render_stats.html
2026.01.18 -- choir concert of christmas carols,3OA_Spcmic_ChristmasCarolsConcert.wav,49:59.000,2999.0,-0.5,-0.5,-0.5,0,0,16.8,16.8,-25.96,16.8,3OA_Spcmic_ChristmasCarolsConcert.render_stats.html
2026.01.18 -- choir concert of christmas carols,5OA_Spcmic_ChristmasCarolsConcert.wav,49:59.000,2999.0,9.4,-0.5,-0.5,0,0,17.6,17.6,-28.72,17.6,5OA_Spcmic_ChristmasCarolsConcert.render_stats.html
