t_start_s,order0_dBFS,order1_dBFS,order2_dBFS,order3_dBFS,order4_dBFS,order5_dBFS
92.0,-32.194,-37.148,-44.542,-48.136,-51.985,-54.844
93.0,-32.833,-36.829,-44.782,-48.382,-51.784,-54.344
94.0,-29.634,-32.867,-42.045,-45.930,-49.745,-52.501
95.0,-32.685,-37.103,-45.878,-49.240,-52.216,-54.993
96.0,-27.752,-31.271,-38.294,-41.404,-44.792,-47.281
97.0,-27.702,-31.340,-38.783,-41.956,-45.151,-48.009
98.0,-25.892,-30.173,-37.981,-41.295,-44.304,-47.125
99.0,-24.853,-28.265,-34.736,-38.116,-41.430,-44.154
100.0,-27.603,-30.698,-39.698,-43.523,-47.191,-50.265
101.0,-23.397,-28.163,-35.325,-38.493,-41.465,-44.639
102.0,-26.554,-31.095,-38.827,-42.413,-45.808,-48.675
103.0,-27.084,-30.144,-37.719,-41.542,-44.943,-47.803
104.0,-25.469,-28.435,-37.034,-39.825,-43.223,-45.699
105.0,-25.815,-29.626,-37.007,-40.583,-44.119,-46.575
106.0,-28.085,-31.481,-39.394,-42.287,-45.243,-47.947
107.0,-31.715,-34.545,-42.642,-45.960,-49.262,-51.823
108.0,-33.295,-36.012,-45.499,-49.227,-52.437,-55.006
109.0,-35.045,-39.029,-48.151,-51.989,-55.916,-58.681
110.0,-33.050,-37.452,-45.330,-48.670,-51.746,-54.890
111.0,-30.831,-34.091,-43.493,-46.906,-49.818,-52.623
112.0,-28.327,-32.354,-40.420,-43.499,-46.607,-49.429
113.0,-34.426,-38.013,-46.214,-49.792,-52.850,-55.565
114.0,-33.840,-37.406,-48.782,-52.616,-55.297,-57.161
115.0,-35.489,-38.690,-48.486,-52.336,-55.747,-58.680
116.0,-29.664,-33.754,-43.777,-47.492,-49.859,-52.404
117.0,-32.257,-36.619,-45.535,-49.093,-52.358,-55.575
118.0,-31.418,-33.970,-43.532,-47.740,-51.448,-54.220
119.0,-27.160,-31.954,-40.611,-43.393,-45.566,-47.864
120.0,-25.567,-29.698,-37.971,-41.465,-44.622,-47.295
121.0,-25.027,-29.362,-39.207,-42.959,-46.357,-49.477
122.0,-24.836,-28.907,-38.816,-42.501,-45.881,-49.072
123.0,-21.715,-25.686,-33.276,-36.681,-39.976,-42.474
124.0,-22.219,-26.636,-35.546,-39.033,-42.462,-45.131
125.0,-20.886,-25.275,-33.243,-36.626,-39.854,-42.774
126.0,-18.668,-23.719,-32.349,-35.443,-38.789,-40.841
127.0,-28.857,-33.366,-42.075,-45.699,-48.789,-51.225
128.0,-22.755,-25.510,-36.595,-40.717,-43.259,-46.076
129.0,-32.571,-36.860,-47.579,-52.458,-56.350,-59.287
130.0,-60.133,-62.583,-69.422,-66.026,-72.774,-68.675
131.0,-45.854,-49.100,-57.958,-61.097,-63.262,-65.943
132.0,-37.734,-40.806,-50.217,-53.291,-56.403,-58.606
133.0,-39.899,-41.286,-50.947,-53.527,-56.255,-58.398
134.0,-34.897,-38.903,-46.661,-49.552,-52.595,-55.581
135.0,-37.391,-41.010,-48.106,-51.625,-54.509,-57.398
136.0,-29.868,-35.423,-42.279,-44.883,-48.415,-50.940
137.0,-31.353,-36.878,-43.351,-45.946,-49.446,-51.750
138.0,-35.928,-40.914,-47.104,-50.104,-53.076,-55.501
139.0,-41.276,-45.862,-56.534,-60.352,-62.369,-65.900
140.0,-35.798,-39.993,-51.527,-55.420,-58.141,-60.612
141.0,-29.497,-34.451,-43.321,-47.014,-50.346,-53.191
142.0,-27.667,-32.236,-41.545,-45.428,-49.013,-51.393
143.0,-26.076,-32.733,-41.275,-44.153,-47.403,-49.984
144.0,-30.555,-40.096,-45.775,-49.785,-55.062,-57.858
145.0,-40.594,-48.744,-53.742,-58.755,-61.649,-64.690
146.0,-39.974,-44.766,-55.623,-60.737,-64.120,-66.590
147.0,-39.881,-44.870,-56.432,-60.632,-63.023,-65.396
148.0,-53.821,-60.541,-69.242,-72.602,-73.517,-76.043
149.0,-52.831,-58.113,-66.247,-70.404,-72.680,-73.948
150.0,-35.937,-40.890,-49.331,-52.559,-54.972,-57.328
151.0,-34.791,-37.437,-46.423,-49.276,-52.133,-54.294
152.0,-32.339,-36.732,-44.090,-47.122,-49.825,-52.146
153.0,-33.472,-38.498,-43.990,-46.909,-49.637,-52.031
154.0,-30.380,-36.263,-42.918,-47.123,-50.506,-53.555
155.0,-29.351,-35.270,-41.699,-45.842,-49.599,-52.430
156.0,-36.361,-42.359,-49.767,-54.052,-57.334,-59.910
157.0,-41.312,-45.492,-55.652,-59.398,-61.221,-64.282
158.0,-31.775,-36.815,-46.050,-49.962,-53.375,-55.965
159.0,-26.948,-32.518,-40.845,-44.694,-48.313,-50.729
160.0,-25.454,-29.987,-38.650,-41.576,-44.620,-47.540
161.0,-31.654,-35.865,-45.529,-49.800,-52.717,-55.462
162.0,-27.171,-32.279,-40.203,-44.556,-48.147,-51.224
163.0,-23.345,-28.651,-36.559,-40.927,-44.807,-48.078
164.0,-22.930,-27.063,-34.953,-38.366,-41.758,-44.517
165.0,-25.371,-28.704,-36.619,-40.566,-44.095,-47.032
166.0,-25.036,-30.039,-39.021,-43.004,-46.629,-49.085
167.0,-23.274,-27.305,-36.131,-39.566,-42.616,-45.336
168.0,-27.289,-31.352,-39.167,-43.156,-46.413,-49.317
169.0,-22.847,-27.036,-33.211,-36.958,-40.054,-42.979
170.0,-24.337,-28.903,-36.112,-40.067,-43.539,-45.713
171.0,-24.156,-28.445,-35.382,-38.991,-42.207,-44.842
172.0,-24.855,-29.473,-35.608,-39.014,-42.107,-44.607
173.0,-22.911,-28.874,-34.617,-37.680,-40.722,-43.295
174.0,-25.492,-31.821,-38.867,-42.849,-45.517,-47.930
175.0,-31.518,-36.560,-43.231,-46.702,-49.696,-52.068
176.0,-28.953,-34.894,-43.440,-47.189,-50.775,-53.914
177.0,-25.669,-31.196,-39.051,-43.206,-46.828,-49.825
178.0,-23.382,-28.303,-34.970,-38.060,-40.985,-43.931
179.0,-20.554,-25.660,-33.223,-36.739,-39.958,-42.885
180.0,-22.026,-26.468,-33.149,-36.687,-40.090,-42.693
181.0,-20.390,-25.420,-32.078,-35.652,-38.812,-41.305
182.0,-23.534,-28.565,-34.843,-38.725,-42.026,-44.657
183.0,-22.507,-26.901,-33.461,-36.344,-39.502,-41.423
184.0,-20.447,-24.880,-32.247,-35.559,-38.714,-41.356
185.0,-25.537,-28.753,-37.455,-41.334,-44.553,-47.074
186.0,-24.262,-27.822,-36.368,-39.455,-42.644,-44.844
187.0,-21.977,-26.504,-34.885,-38.216,-41.634,-44.334
188.0,-22.772,-28.053,-35.433,-39.131,-42.669,-45.514
189.0,-25.113,-28.895,-37.503,-41.398,-45.206,-47.942
190.0,-22.178,-27.224,-34.375,-38.085,-41.604,-44.396
191.0,-20.859,-25.557,-32.044,-35.059,-37.912,-40.460
192.0,-22.138,-25.820,-33.861,-37.197,-40.475,-43.133
193.0,-21.531,-25.936,-33.708,-37.644,-41.205,-43.704
194.0,-20.722,-25.379,-32.330,-35.639,-38.649,-41.528
195.0,-22.945,-26.810,-33.856,-36.741,-39.460,-41.914
196.0,-22.098,-26.313,-33.694,-37.030,-40.017,-42.879
197.0,-21.548,-26.128,-33.869,-37.180,-40.350,-43.352
198.0,-22.414,-27.272,-34.533,-38.173,-41.464,-44.121
199.0,-23.047,-27.133,-35.280,-39.241,-42.777,-45.514
200.0,-21.518,-25.842,-32.353,-36.106,-39.391,-42.025
201.0,-21.172,-25.791,-33.226,-36.425,-40.141,-43.037
202.0,-23.217,-27.362,-35.973,-39.263,-42.537,-45.445
203.0,-21.608,-25.999,-33.798,-37.160,-40.542,-43.681
204.0,-21.246,-26.141,-33.711,-37.437,-40.921,-44.167
205.0,-20.969,-24.967,-33.317,-36.766,-40.163,-43.231
206.0,-22.108,-26.321,-33.921,-37.653,-41.061,-43.972
207.0,-21.015,-25.540,-33.798,-37.818,-41.208,-44.164
208.0,-18.314,-23.453,-31.344,-35.230,-38.629,-41.444
209.0,-21.774,-28.256,-34.598,-38.755,-41.762,-44.912
210.0,-30.135,-35.469,-42.674,-46.087,-49.181,-51.681
