t_start_s,zm1_order0_dBFS,zm1_order1_dBFS,zm1_order2_dBFS,zm1_order3_dBFS,spcmic_order0_dBFS,spcmic_order1_dBFS,spcmic_order2_dBFS,spcmic_order3_dBFS,diff_order0_dB,diff_order1_dB,diff_order2_dB,diff_order3_dB
100.0,-30.050,-38.270,-52.563,-63.371,-27.613,-30.737,-34.359,-36.185,-2.436,-7.533,-18.204,-27.185
101.0,-29.222,-37.126,-53.147,-60.589,-23.445,-28.279,-31.699,-31.827,-5.777,-8.847,-21.448,-28.762
102.0,-25.735,-33.192,-46.375,-54.698,-26.563,-31.142,-34.537,-35.051,0.829,-2.050,-11.838,-19.646
103.0,-28.957,-38.567,-54.161,-63.945,-27.111,-30.130,-33.439,-35.608,-1.846,-8.437,-20.722,-28.337
104.0,-24.193,-32.168,-41.671,-52.573,-25.504,-28.481,-29.901,-34.029,1.311,-3.687,-11.770,-18.544
105.0,-24.576,-32.198,-45.014,-53.194,-25.869,-29.686,-31.741,-34.338,1.294,-2.513,-13.273,-18.857
106.0,-23.756,-31.363,-46.249,-54.004,-28.128,-31.455,-33.553,-36.639,4.372,0.092,-12.696,-17.364
107.0,-22.307,-29.387,-35.290,-47.294,-31.774,-34.520,-36.813,-40.281,9.466,5.133,1.523,-7.013
108.0,-24.768,-32.049,-39.504,-50.412,-33.359,-36.046,-40.043,-41.812,8.591,3.997,0.540,-8.600
109.0,-21.791,-29.700,-41.845,-49.742,-35.118,-39.103,-42.113,-43.549,13.327,9.402,0.268,-6.192
110.0,-24.047,-31.001,-41.886,-49.760,-33.107,-37.490,-41.586,-41.506,9.060,6.489,-0.300,-8.254
111.0,-23.686,-31.320,-41.535,-50.103,-30.889,-34.125,-36.347,-39.331,7.203,2.804,-5.188,-10.772
112.0,-22.905,-28.804,-41.347,-49.933,-28.390,-32.449,-34.838,-36.863,5.485,3.645,-6.509,-13.070
113.0,-22.972,-30.451,-43.640,-52.004,-34.495,-38.073,-41.772,-42.881,11.523,7.622,-1.868,-9.123
114.0,-26.853,-32.703,-46.173,-55.138,-33.901,-37.451,-40.698,-42.374,7.049,4.748,-5.475,-12.764
115.0,-28.731,-35.408,-51.235,-61.140,-35.545,-38.707,-42.473,-44.045,6.814,3.298,-8.762,-17.095
116.0,-30.756,-37.014,-53.388,-63.753,-29.729,-33.824,-36.150,-38.220,-1.027,-3.189,-17.238,-25.533
117.0,-31.090,-40.172,-57.728,-69.334,-32.315,-36.669,-39.059,-40.811,1.225,-3.503,-18.669,-28.523
118.0,-31.053,-37.383,-51.788,-61.296,-31.464,-34.051,-38.365,-39.870,0.411,-3.333,-13.423,-21.426
119.0,-27.245,-34.618,-48.953,-58.925,-27.219,-32.004,-34.429,-35.672,-0.026,-2.614,-14.523,-23.253
120.0,-25.756,-33.466,-49.305,-59.036,-25.627,-29.748,-32.381,-34.082,-0.129,-3.718,-16.923,-24.955
121.0,-31.185,-39.694,-55.670,-65.793,-25.078,-29.451,-31.718,-33.496,-6.107,-10.243,-23.952,-32.296
122.0,-29.008,-38.453,-54.644,-63.840,-24.861,-28.920,-30.159,-33.450,-4.147,-9.533,-24.485,-30.390
123.0,-31.263,-40.270,-55.252,-63.616,-21.740,-25.752,-28.161,-30.332,-9.522,-14.519,-27.091,-33.285
124.0,-26.016,-34.738,-49.147,-56.977,-22.249,-26.684,-29.011,-30.691,-3.767,-8.054,-20.136,-26.286
125.0,-27.191,-36.163,-50.569,-57.058,-20.899,-25.256,-26.116,-29.485,-6.293,-10.907,-24.453,-27.574
126.0,-26.721,-34.371,-48.846,-56.192,-18.692,-23.751,-25.076,-27.163,-8.029,-10.620,-23.771,-29.029
127.0,-24.103,-33.152,-47.856,-55.225,-28.940,-33.449,-36.286,-37.307,4.837,0.297,-11.571,-17.918
128.0,-21.250,-30.324,-44.568,-51.595,-22.793,-25.533,-29.818,-31.172,1.543,-4.791,-14.750,-20.423
129.0,-21.645,-29.289,-42.626,-49.799,-32.622,-36.776,-39.336,-41.041,10.977,7.487,-3.290,-8.758
130.0,-21.800,-29.133,-40.614,-48.661,-60.450,-63.158,-67.128,-68.675,38.650,34.025,26.514,20.015
131.0,-18.495,-26.330,-38.222,-44.526,-45.917,-49.210,-52.877,-54.343,27.422,22.880,14.655,9.817
132.0,-20.911,-28.122,-36.870,-45.508,-37.793,-40.762,-44.670,-46.273,16.882,12.641,7.800,0.765
133.0,-19.878,-26.038,-34.925,-43.569,-39.959,-41.175,-46.344,-48.444,20.080,15.137,11.419,4.874
134.0,-16.897,-25.551,-34.789,-42.359,-34.972,-39.005,-41.595,-43.429,18.075,13.454,6.806,1.070
135.0,-30.194,-38.778,-49.079,-55.935,-37.406,-41.036,-41.419,-46.174,7.213,2.258,-7.660,-9.760
136.0,-18.477,-26.671,-39.168,-44.310,-29.884,-35.413,-37.203,-38.248,11.407,8.743,-1.964,-6.062
137.0,-30.866,-41.131,-50.302,-56.223,-31.388,-36.902,-39.768,-39.701,0.521,-4.228,-10.534,-16.522
138.0,-59.739,-68.103,-72.510,-78.411,-35.965,-40.982,-42.595,-44.537,-23.775,-27.121,-29.915,-33.875
139.0,-39.236,-48.628,-65.822,-77.598,-41.345,-45.918,-48.256,-49.814,2.108,-2.711,-17.566,-27.784
140.0,-32.423,-41.059,-60.467,-71.793,-35.868,-40.068,-42.363,-44.341,3.445,-0.991,-18.103,-27.453
141.0,-35.261,-42.844,-62.900,-74.535,-29.545,-34.552,-36.567,-37.986,-5.716,-8.292,-26.333,-36.549
142.0,-30.720,-39.901,-58.924,-70.293,-27.725,-32.321,-35.348,-36.108,-2.995,-7.580,-23.576,-34.186
143.0,-36.233,-42.521,-55.510,-72.601,-26.107,-32.744,-33.815,-34.409,-10.125,-9.776,-21.696,-38.191
144.0,-29.685,-35.487,-42.057,-59.692,-30.615,-40.022,-37.549,-39.082,0.930,4.535,-4.507,-20.610
145.0,-30.869,-37.943,-44.980,-61.409,-40.654,-48.726,-47.444,-49.173,9.785,10.784,2.464,-12.237
146.0,-31.986,-41.087,-51.128,-64.511,-40.038,-44.960,-47.822,-48.435,8.052,3.873,-3.306,-16.076
147.0,-36.450,-46.578,-64.289,-75.980,-39.954,-45.003,-47.331,-48.353,3.504,-1.575,-16.958,-27.627
148.0,-31.320,-40.375,-56.111,-66.219,-53.909,-60.669,-61.279,-62.375,22.589,20.294,5.168,-3.844
149.0,-25.671,-35.173,-48.853,-55.589,-52.915,-58.208,-61.501,-61.288,27.244,23.035,12.648,5.699
150.0,-25.777,-33.965,-46.460,-52.659,-36.005,-40.949,-42.772,-44.481,10.228,6.983,-3.688,-8.178
151.0,-22.365,-33.843,-43.164,-49.224,-34.851,-37.437,-41.229,-43.355,12.486,3.594,-1.935,-5.869
152.0,-26.635,-42.818,-53.957,-60.381,-32.422,-36.884,-39.156,-40.856,5.787,-5.934,-14.801,-19.526
153.0,-36.149,-50.376,-65.971,-73.970,-33.548,-38.650,-40.013,-41.981,-2.601,-11.726,-25.959,-31.989
154.0,-34.442,-44.949,-62.210,-74.748,-30.385,-36.266,-37.638,-38.823,-4.057,-8.682,-24.572,-35.925
155.0,-37.821,-47.519,-66.093,-78.772,-29.342,-35.282,-37.917,-37.791,-8.479,-12.237,-28.176,-40.981
