piece,freq_hz,zm1_minus_spcmic_dB
Franck,205.078125,5.5067291259765625
Franck,210.9375,6.0662078857421875
Franck,216.796875,6.614692687988281
Franck,222.65625,6.9878692626953125
Franck,228.515625,7.435642242431641
Franck,234.375,7.866107940673828
Franck,240.234375,8.23965835571289
Franck,246.09375,8.474224090576172
Franck,251.953125,8.663200378417969
Franck,257.8125,8.83230972290039
Franck,263.671875,8.904705047607422
Franck,269.53125,8.936820983886719
Franck,275.390625,9.090423583984375
Franck,281.25,9.286521911621094
Franck,287.109375,9.481334686279297
Franck,292.96875,9.581626892089844
Franck,298.828125,9.680065155029297
Franck,304.6875,9.822216033935547
Franck,310.546875,9.92678451538086
Franck,316.40625,9.972423553466797
Franck,322.265625,10.086151123046875
Franck,328.125,10.212200164794922
Franck,333.984375,10.320575714111328
Franck,339.84375,10.358978271484375
Franck,345.703125,10.380325317382812
Franck,351.5625,10.439044952392578
Franck,357.421875,10.567607879638672
Franck,363.28125,10.631088256835938
Franck,369.140625,10.686782836914062
Franck,375.0,10.656063079833984
Franck,380.859375,10.624664306640625
Franck,386.71875,10.608585357666016
Franck,392.578125,10.670944213867188
Franck,398.4375,10.627113342285156
Franck,404.296875,10.679733276367188
Franck,410.15625,10.63772964477539
Franck,416.015625,10.790206909179688
Franck,421.875,10.950130462646484
Franck,427.734375,10.92068862915039
Franck,433.59375,10.93771743774414
Franck,439.453125,10.8731689453125
Franck,445.3125,10.987186431884766
Franck,451.171875,10.94610595703125
Franck,457.03125,10.770832061767578
Franck,462.890625,10.7772216796875
Franck,468.75,10.73116683959961
Franck,474.609375,10.678932189941406
Franck,480.46875,10.840225219726562
Franck,486.328125,10.76824951171875
Franck,492.1875,10.628433227539062
Franck,498.046875,10.799598693847656
Franck,503.90625,10.878021240234375
Franck,509.765625,10.727672576904297
Franck,515.625,10.791934967041016
Franck,521.484375,10.82559585571289
Franck,527.34375,10.598731994628906
Franck,533.203125,10.414920806884766
Franck,539.0625,10.53515625
Franck,544.921875,10.482170104980469
Franck,550.78125,10.242748260498047
Franck,556.640625,10.208580017089844
Franck,562.5,10.253448486328125
Franck,568.359375,10.079566955566406
Franck,574.21875,9.768058776855469
Franck,580.078125,9.722015380859375
Franck,585.9375,9.692012786865234
Franck,591.796875,9.521183013916016
Franck,597.65625,9.308525085449219
Prokofiev,205.078125,5.161293029785156
Prokofiev,210.9375,5.6703033447265625
Prokofiev,216.796875,6.118080139160156
Prokofiev,222.65625,6.448848724365234
Prokofiev,228.515625,6.780071258544922
Prokofiev,234.375,7.113010406494141
Prokofiev,240.234375,7.390193939208984
Prokofiev,246.09375,7.587230682373047
Prokofiev,251.953125,7.706577301025391
Prokofiev,257.8125,7.800323486328125
Prokofiev,263.671875,7.914371490478516
Prokofiev,269.53125,8.03506851196289
Prokofiev,275.390625,8.13919448852539
Prokofiev,281.25,8.268898010253906
Prokofiev,287.109375,8.386558532714844
Prokofiev,292.96875,8.439193725585938
Prokofiev,298.828125,8.59634017944336
Prokofiev,304.6875,8.703018188476562
Prokofiev,310.546875,8.736557006835938
Prokofiev,316.40625,8.761882781982422
Prokofiev,322.265625,8.819576263427734
Prokofiev,328.125,8.879085540771484
Prokofiev,333.984375,8.92416763305664
Prokofiev,339.84375,8.919246673583984
Prokofiev,345.703125,8.956817626953125
Prokofiev,351.5625,8.932933807373047
Prokofiev,357.421875,8.969406127929688
Prokofiev,363.28125,9.038925170898438
Prokofiev,369.140625,8.98929214477539
Prokofiev,375.0,8.891860961914062
Prokofiev,380.859375,8.866405487060547
Prokofiev,386.71875,8.78890609741211
Prokofiev,392.578125,8.773391723632812
Prokofiev,398.4375,8.626079559326172
Prokofiev,404.296875,8.610538482666016
Prokofiev,410.15625,8.549880981445312
Prokofiev,416.015625,8.695396423339844
Prokofiev,421.875,8.834892272949219
Prokofiev,427.734375,8.829750061035156
Prokofiev,433.59375,8.809925079345703
Prokofiev,439.453125,8.669502258300781
Prokofiev,445.3125,8.726585388183594
Prokofiev,451.171875,8.633232116699219
Prokofiev,457.03125,8.443492889404297
Prokofiev,462.890625,8.449447631835938
Prokofiev,468.75,8.367019653320312
Prokofiev,474.609375,8.236198425292969
Prokofiev,480.46875,8.350383758544922
Prokofiev,486.328125,8.284812927246094
Prokofiev,492.1875,8.138961791992188
Prokofiev,498.046875,8.230873107910156
Prokofiev,503.90625,8.22061538696289
Prokofiev,509.765625,8.014053344726562
Prokofiev,515.625,8.117263793945312
Prokofiev,521.484375,8.241767883300781
Prokofiev,527.34375,8.11935043334961
Prokofiev,533.203125,7.994758605957031
Prokofiev,539.0625,8.164905548095703
Prokofiev,544.921875,8.200511932373047
Prokofiev,550.78125,8.137893676757812
Prokofiev,556.640625,8.237983703613281
Prokofiev,562.5,8.311241149902344
Prokofiev,568.359375,8.14950180053711
Prokofiev,574.21875,7.880439758300781
Prokofiev,580.078125,7.854866027832031
Prokofiev,585.9375,7.872947692871094
Prokofiev,591.796875,7.7818756103515625
Prokofiev,597.65625,7.637275695800781
