key,mic,format,piece,session,file,sr,n_channels,duration_s,W_rms,X_rms,Y_rms,Z_rms,X_over_W,Y_over_W,Z_over_W,lufs_i_multichannel,lufs_i_W,true_peak_db,lra,order0_dBFS,order1_dBFS,order2_dBFS,order3_dBFS,order4_dBFS,order5_dBFS,rolloff_0_to_3_dB
ZMOneFranck,ZM-1,3OA,Franck,2024.08.15 -- ZM1 Spcmic Saramonic,3OA_ZM1_CFranck-PreludeChoralFugue.wav,48000,16,1147.833,0.06905688857180012,0.037980155151493,0.01689609979067495,0.022384571111623924,0.5499835850844064,0.24466928846798053,0.3241468240833084,-21.48,-23.006109214114396,,16.700000000000003,-23.215859862488067,-31.78323815032032,-42.924660358351616,-50.61221797407259,,,27.396358111584526
ZMOneProkofiev,ZM-1,3OA,Prokofiev,2024.08.15 -- ZM1 Spcmic Saramonic,3OA_ZM1_SProkofiev-Sonata4.wav,48000,16,984.000,0.07212457566813264,0.03858580676161589,0.01805431378155911,0.023360444673775457,0.5349883365575842,0.2503212478452915,0.32389021990595895,-20.62,-22.470063569367554,,18.700000000000003,-22.838334578431166,-31.4805639871205,-40.90315715737383,-48.84139584742844,,,26.00306126899727
ZMOneGinastera,ZM-1,3OA,Ginastera,2024.04.30 -- piano recording,3OA_ZM1_AGinastera-Sonata1.wav,48000,16,921.500,0.0845513758678496,0.037782700180738656,0.019699375985269274,0.02708840454554728,0.4468608558161312,0.23298705412030915,0.32037804550792137,-18.16,-20.234508538242164,,21.799999999999997,-21.457586418461823,-30.998049110501626,-39.25136840339351,-43.600121062652605,,,22.142534644190782
SpcmicThreeOAFranck,Spcmic,3OA,Franck,2024.08.15 -- ZM1 Spcmic Saramonic,3OA_Spcmic_CFranck-PreludeChoralFugue.wav,96000,16,1147.833,0.048720638111946116,0.04061620758605135,0.018402653586177445,0.02761710219894238,0.8336550825284123,0.3777178275845526,0.5668460691234414,-18.19,-25.636896661398183,,17.1,-26.245740644497793,-30.788460914214628,-33.03850765158215,-34.6835560048913,,,8.437815360393508
SpcmicThreeOAProkofiev,Spcmic,3OA,Prokofiev,2024.08.15 -- ZM1 Spcmic Saramonic,3OA_Spcmic_SProkofiev-Sonata4.wav,96000,16,984.000,0.052064012172140274,0.042790284452508105,0.020143773712299286,0.0289082172864839,0.8218783506547621,0.38690398361343203,0.5552437486166854,-17.29,-24.788898024742817,,19.0,-25.6692473441745,-30.281572392161603,-32.306763235680926,-34.14925552286682,,,8.480008178692316
SpcmicFiveOAFranck,Spcmic,5OA,Franck,2024.08.15 -- ZM1 Spcmic Saramonic,5OA_Spcmic_CFranck-PreludeChoralFugue.wav,96000,36,1147.833,0.048965384429803506,0.04071463179667714,0.018532143234629827,0.0277393229351309,0.8314982567949692,0.3784743743041046,0.5665088359491558,-20.35,-25.6120683594964,,17.1,-26.20221662951474,-30.753428101537512,-37.94866495910243,-41.30409915129381,-44.382670382198874,-47.05167032206617,15.101882521779071
SpcmicFiveOAProkofiev,Spcmic,5OA,Prokofiev,2024.08.15 -- ZM1 Spcmic Saramonic,5OA_Spcmic_SProkofiev-Sonata4.wav,96000,36,984.000,0.05223129656524869,0.04291650641199269,0.02028812189625269,0.029149034840428446,0.8216626665275344,0.38842845631657336,0.5580760340500971,-19.62,-24.7861434790946,,19.4,-25.64138386612671,-30.233342571807018,-37.614241311753844,-41.12826864971961,-44.35135988497927,-47.09283500388881,15.486884783592899
SpcmicFiveOAGinastera,Spcmic,5OA,Ginastera,2024.04.30 -- piano recording,5OA_Spcmic_AGinastera-Sonata1.wav,48000,36,921.500,0.07293296064358558,0.051350356523282945,0.02634210717155501,0.03587774214802497,0.7040761278597455,0.36118247413930793,0.49192768031665535,-15.84,-21.07416835657699,,21.0,-22.741523126224195,-28.43713683576011,-34.328844664461336,-37.75164566948852,-40.71752148503819,-43.280649949203436,15.010122543264323
