microphone,W_rms,X_rms,Y_rms,Z_rms,Ix,Iy,Iz,I_mag,azimuth_rad,azimuth_deg
SR-VRMIC (1OA),0.0468721746090578,0.04079821405399792,0.024775270212402153,0.03252317840905878,0.0012482177450076095,-0.0002169561328905626,-0.0011196370805649936,0.0016907704441250476,-0.17209344359851156,-9.860228000067387
ZM-1 (3OA),0.06905688857173567,0.03798015515150597,0.016896099790749467,0.022384571111677628,0.0019045199169581118,-0.0003760727116614347,-0.0009469520740850774,0.0021599409781659657,-0.19495520118618562,-11.170110222092296
Spcmic (3OA),0.048720638111859775,0.040616207585998244,0.018402653586253197,0.027617102198964686,0.0015270109484289197,-0.0003201760136607425,-0.0008354319644761008,0.0017698083748287185,-0.20668089665450345,-11.841943084282583
Spcmic (5OA),0.04896538442971652,0.040714631796623345,0.01853214323470653,0.027739322935152938,0.0015318412255321111,-0.0003208360718287139,-0.0008404040071110108,0.0017764437003165744,-0.2064603179585826,-11.82930485595582
