microphone,max_order,order_0_dBFS,order_1_dBFS,order_2_dBFS,order_3_dBFS,order_4_dBFS,order_5_dBFS
SR-VRMIC (1OA),1,-26.581697924589072,-29.709340415677573,,,,
ZM-1 (3OA),3,-23.215859849918296,-31.783238116343068,-42.92466023696244,-50.61221768080435,,
Spcmic (3OA),3,-26.245740626685237,-30.788460883749057,-33.03850761213844,-34.68355595721551,,
Spcmic (5OA),5,-26.202216611791332,-30.753428071196435,-37.94866489001351,-41.304099050028704,-44.38267023840255,-47.05167012711304
